HITId,HITTypeId,Title,Description,Keywords,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Modifier,Input.Aspect,Input.Sentiment,Answer.sentiment.label,Approve,Reject
301KG0KXAMARY5NVEYBH2H1TXHE2HU,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 08:06:04 PDT 2022,1,BatchId:4744268;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 08:06:04 PDT 2022,,,3907X2AHFBULY6JDNDOO0AY89Z32P3,AOYOTGAGF02CH,Approved,Thu May 19 08:07:35 PDT 2022,Thu May 19 08:13:58 PDT 2022,Sun May 22 08:13:58 PDT 2022,Thu May 19 08:43:53 PDT 2022,,,383,100% (27/27),100% (27/27),100% (27/27),old,father,,Neutral,,
301KG0KXAMARY5NVEYBH2H1TXHEH29,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 08:06:01 PDT 2022,1,BatchId:4744268;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 08:06:01 PDT 2022,,,3B3WTRP3DMR06J366OSREKYT4VK297,A1622OA5Y12NZT,Approved,Thu May 19 08:06:17 PDT 2022,Thu May 19 08:06:30 PDT 2022,Sun May 22 08:06:30 PDT 2022,Thu May 19 08:07:14 PDT 2022,,,13,100% (8/8),100% (8/8),100% (8/8),wireless,headphones,,Neutral,,
302OLP89E9WPM07J5LQVX8NBWD1AC0,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 08:06:12 PDT 2022,1,BatchId:4744268;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 08:06:12 PDT 2022,,,3XC1O3LBO3BPRKYSE0FDKGYE42ELTF,A2OVOWDTK4SW91,Approved,Thu May 19 08:07:36 PDT 2022,Thu May 19 08:07:39 PDT 2022,Sun May 22 08:07:39 PDT 2022,Thu May 19 08:08:06 PDT 2022,,,3,100% (26/26),100% (26/26),100% (26/26),charging,rack,,Neutral,,
302OLP89E9WPM07J5LQVX8NBWD1CA2,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 08:06:08 PDT 2022,1,BatchId:4744268;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 08:06:08 PDT 2022,,,3L2IS5HSFL7UFXG2QIL224O5SBLUNH,A2BA47V5IXY61L,Approved,Thu May 19 08:07:21 PDT 2022,Thu May 19 08:14:58 PDT 2022,Sun May 22 08:14:58 PDT 2022,Thu May 19 08:43:54 PDT 2022,,,457,100% (3/3),100% (3/3),100% (3/3),also available,headphones,,Very Positive,,
302U8RURK9QS5S7856Q596V0GRFVN3,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 08:05:39 PDT 2022,1,BatchId:4744268;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 08:05:39 PDT 2022,,,3QRYMNZ7F96FFK1DQDVSX8239WDTNM,A2HS3D3M7O80I5,Approved,Thu May 19 08:05:48 PDT 2022,Thu May 19 08:07:40 PDT 2022,Sun May 22 08:07:40 PDT 2022,Thu May 19 08:08:33 PDT 2022,,,112,100% (6/6),100% (6/6),100% (6/6),impaired,husband,,Negative,,
302U8RURK9QS5S7856Q596V0GRGNVW,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 08:06:22 PDT 2022,1,BatchId:4744268;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 08:06:22 PDT 2022,,,3YWRV122C3O9CQTYKGWJK7YA3GN8U8,A1IPS3LW1DG9DR,Approved,Thu May 19 08:08:02 PDT 2022,Thu May 19 08:09:33 PDT 2022,Sun May 22 08:09:33 PDT 2022,Thu May 19 08:11:39 PDT 2022,,,91,100% (15/15),100% (15/15),100% (15/15),second,set,,Positive,,
302U8RURK9QS5S7856Q596V0GRGVN4,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 08:06:23 PDT 2022,1,BatchId:4744268;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 08:06:23 PDT 2022,,,3A0EX8ZRNJD9VXBAXTDIEUUO7AJBY8,A2WZ22WG3UEH87,Approved,Thu May 19 08:08:44 PDT 2022,Thu May 19 08:10:43 PDT 2022,Sun May 22 08:10:43 PDT 2022,Thu May 19 08:11:39 PDT 2022,,,119,100% (22/22),100% (22/22),100% (22/22),idea,product,,Very Positive,,
304QEQWK0Z9UUC643O2T325FC57O0J,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 08:05:43 PDT 2022,1,BatchId:4744268;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 08:05:43 PDT 2022,,,3NQL1CS152XO4B9G2A4IF6OVA1XYVX,AS0K3B3JQBADE,Approved,Thu May 19 08:05:49 PDT 2022,Thu May 19 08:07:33 PDT 2022,Sun May 22 08:07:33 PDT 2022,Thu May 19 08:08:06 PDT 2022,,,104,100% (31/31),100% (31/31),100% (31/31),proper,connection,(positive),Negative,,
304QEQWK0Z9UUC643O2T325FC58O0K,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 08:06:24 PDT 2022,1,BatchId:4744268;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 08:06:24 PDT 2022,,,31JLPPHS25JSYO3VCDPEUKYA5873OY,A1IZ7N4S4NNLKK,Approved,Thu May 19 08:08:04 PDT 2022,Thu May 19 08:08:09 PDT 2022,Sun May 22 08:08:09 PDT 2022,Thu May 19 08:09:07 PDT 2022,,,5,100% (15/15),100% (15/15),100% (15/15),notha,beer,,,,
306996CF769AI72DV217BNOQAYV1BW,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 08:05:47 PDT 2022,1,BatchId:4744268;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 08:05:47 PDT 2022,,,32SCWG5HIST9G72EAF0RQNFKP456PO,A3VIHY7RS59ABF,Approved,Thu May 19 08:08:44 PDT 2022,Thu May 19 08:15:28 PDT 2022,Sun May 22 08:15:28 PDT 2022,Thu May 19 08:43:54 PDT 2022,,,404,100% (23/23),100% (23/23),100% (23/23),right,position,,Very Positive,,
