HITId,HITTypeId,Title,Description,Keywords,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Modifier,Input.Aspect,Input.Sentiment,Answer.sentiment.label,Approve,Reject
34D9ZRXCZ1J5THWF27GVCDRTIGMAST,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 07:34:26 PDT 2022,1,BatchId:4744245;OriginalHitTemplateId:928390909;,3600,259200,Thu May 19 07:34:20 PDT 2022,,,3RSDURM96LB720NU7KF8F209A6PYEM,A1SLASX6PGAY8V,Approved,Thu May 19 07:35:05 PDT 2022,Thu May 19 07:35:37 PDT 2022,Sun May 22 07:35:37 PDT 2022,Thu May 19 07:55:58 PDT 2022,,,32,100% (3/3),100% (3/3),100% (3/3),proper,connection,(positive),Positive,,
3Z3R5YC0QDC148Q22N7D0JY6HFDFT0,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 07:34:26 PDT 2022,1,BatchId:4744245;OriginalHitTemplateId:928390909;,3600,259200,Thu May 19 07:34:20 PDT 2022,,,36U2A8VAGCOAO0F436QBDXDEU3LYK6,A3R9G09MWQW6OY,Approved,Thu May 19 07:35:13 PDT 2022,Thu May 19 07:43:39 PDT 2022,Sun May 22 07:43:39 PDT 2022,Thu May 19 07:56:37 PDT 2022,,,506,100% (10/10),100% (10/10),100% (10/10),little,bit,(negative),Negative,,
3BS6ERDLADWY4Q1UF44U1937LUMD6C,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 07:34:26 PDT 2022,1,BatchId:4744245;OriginalHitTemplateId:928390909;,3600,259200,Thu May 19 07:34:20 PDT 2022,,,3RXCAC0YI2EQ78S30B72GSXJU72G88,A1PF0W8RH1CLSB,Approved,Thu May 19 07:35:15 PDT 2022,Thu May 19 07:53:37 PDT 2022,Sun May 22 07:53:37 PDT 2022,Thu May 19 07:56:01 PDT 2022,,,1102,100% (6/6),100% (6/6),100% (6/6),lower,price,(negative),Negative,,
33KGGVH2546HVA5E0YTP0KFIT1IX10,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 07:34:26 PDT 2022,1,BatchId:4744245;OriginalHitTemplateId:928390909;,3600,259200,Thu May 26 07:34:26 PDT 2022,,,3GNCZX450TCA39EH0SH36SH6LMPAPA,A9HQ3E0F2AGVO,Approved,Thu May 19 07:35:09 PDT 2022,Thu May 19 07:35:13 PDT 2022,Sun May 22 07:35:13 PDT 2022,Thu May 19 07:55:58 PDT 2022,,,4,100% (2/2),100% (2/2),100% (2/2),perfect,sound,(very positive),Very Positive,,
3DIIW4IV9ZK1XED2OUCQV8Z6H8OI4Y,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 07:34:26 PDT 2022,1,BatchId:4744245;OriginalHitTemplateId:928390909;,3600,259200,Thu May 19 07:34:21 PDT 2022,,,3TPZPLC3MB1AJOFWRD2TJK30FCX3P7,A3R9G09MWQW6OY,Approved,Thu May 19 07:35:11 PDT 2022,Thu May 19 07:43:20 PDT 2022,Sun May 22 07:43:20 PDT 2022,Thu May 19 07:56:02 PDT 2022,,,489,100% (10/10),100% (10/10),100% (10/10),Sound,quality,(neutral),Neutral,,
3P458N04RB6OKVNAJ2T353PNL7WX2H,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 07:34:26 PDT 2022,1,BatchId:4744245;OriginalHitTemplateId:928390909;,3600,259200,Thu May 19 07:34:22 PDT 2022,,,33CID5710FIKS30YZL9M23UGA2W3L9,A260RVA65FR2IB,Approved,Thu May 19 07:35:08 PDT 2022,Thu May 19 07:57:19 PDT 2022,Sun May 22 07:57:19 PDT 2022,Thu May 19 08:06:32 PDT 2022,,,1331,100% (8/8),100% (8/8),100% (8/8),previous,item,(neutral),Neutral,,
3UEBBGULQPDG4L5R2SXN5FK80TKFUR,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 07:34:26 PDT 2022,1,BatchId:4744245;OriginalHitTemplateId:928390909;,3600,259200,Thu May 19 07:34:22 PDT 2022,,,33FBRBDW6ZODQWCYYPBJQ1C4WFA8CQ,A3MHLQBHJ266G,Approved,Thu May 19 07:35:09 PDT 2022,Thu May 19 07:37:15 PDT 2022,Sun May 22 07:37:15 PDT 2022,Thu May 19 07:56:34 PDT 2022,,,126,100% (18/18),100% (18/18),100% (18/18),wireless,items,(neutral),Neutral,,
34XASH8KM0B9IQPC7T26QZHIPD4MP9,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 07:34:26 PDT 2022,1,BatchId:4744245;OriginalHitTemplateId:928390909;,3600,259200,Thu May 19 07:34:22 PDT 2022,,,33TIN5LC0FZQ74WDZ9ZMNOZYJ99Y9C,A3EDVGLEXLUE5,Approved,Thu May 19 07:35:01 PDT 2022,Thu May 19 07:36:44 PDT 2022,Sun May 22 07:36:44 PDT 2022,Thu May 19 07:55:58 PDT 2022,,,103,100% (4/4),100% (4/4),100% (4/4),evident,gap,,Negative,,
35A1YQPVGO5JTXH22ZV0005KH4JI53,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 07:34:26 PDT 2022,1,BatchId:4744245;OriginalHitTemplateId:928390909;,3600,259200,Thu May 19 07:34:23 PDT 2022,,,3A0EX8ZRNJD9VXBAXTDIEUUO79CYBM,A2R99OKTW7QVER,Approved,Thu May 19 07:35:30 PDT 2022,Thu May 19 07:40:28 PDT 2022,Sun May 22 07:40:28 PDT 2022,Thu May 19 07:55:58 PDT 2022,,,298,100% (15/15),100% (15/15),100% (15/15),not properly,plug,,Negative,,
3ABAOCJ4SITUI2QR76HVQ47SU9QMQ0,398H02C4IDQI5HHO6KOZMDQW3QGEF2,Modifier/Aspect Sentiment analysis describing a set of headphones extracted from amazon reviews.,Determine if a modifier (adjective) describes an aspect (noun) in a positive or negative way.,"sentiment, text",Thu May 19 07:34:26 PDT 2022,1,BatchId:4744245;OriginalHitTemplateId:928390909;,3600,259200,Thu May 19 07:34:23 PDT 2022,,,36AHBNMV1212AU9UBP4O9KIOAUOYDT,A260RVA65FR2IB,Approved,Thu May 19 07:35:05 PDT 2022,Thu May 19 07:57:06 PDT 2022,Sun May 22 07:57:06 PDT 2022,Thu May 19 08:06:32 PDT 2022,,,1321,100% (8/8),100% (8/8),100% (8/8),not fully,plug,,Neutral,,
